round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,26,28,14,6,0.7297,0.8125,0.6667,0.7222,0.7798
2,16,44,10,4,0.8108,0.8,0.8148,0.6957,0.8417
3,20,35,11,8,0.7432,0.7143,0.7609,0.678,0.7516
4,17,48,4,5,0.8784,0.7727,0.9231,0.7907,0.903
5,19,41,5,9,0.8108,0.6786,0.8913,0.7308,0.8106
6,14,42,6,12,0.7568,0.5385,0.875,0.6087,0.7909
7,15,44,5,10,0.7973,0.6,0.898,0.6667,0.8131
8,16,43,7,8,0.7973,0.6667,0.86,0.6809,0.8125
9,23,37,4,10,0.8108,0.697,0.9024,0.7667,0.8448
10,19,44,7,4,0.8514,0.8261,0.8627,0.7755,0.8636
11,16,39,10,9,0.7432,0.64,0.7959,0.6275,0.72
12,19,39,7,9,0.7838,0.6786,0.8478,0.7037,0.8261
13,19,44,8,3,0.8514,0.8636,0.8462,0.7755,0.91
14,27,37,3,7,0.8649,0.7941,0.925,0.8438,0.8971
15,11,48,8,7,0.7973,0.6111,0.8571,0.5946,0.8403
16,22,40,6,6,0.8378,0.7857,0.8696,0.7857,0.8944
17,21,41,10,2,0.8378,0.913,0.8039,0.7778,0.8738
18,24,38,6,6,0.8378,0.8,0.8636,0.8,0.8689
19,14,45,5,10,0.7973,0.5833,0.9,0.6512,0.7842
20,14,38,13,9,0.7027,0.6087,0.7451,0.56,0.7468
21,16,45,8,5,0.8243,0.7619,0.8491,0.7111,0.8428
22,13,42,10,9,0.7432,0.5909,0.8077,0.5778,0.7649
23,17,43,4,10,0.8108,0.6296,0.9149,0.7083,0.7888
24,14,41,10,9,0.7432,0.6087,0.8039,0.5957,0.8244
25,15,39,12,8,0.7297,0.6522,0.7647,0.6,0.8073
26,15,40,12,7,0.7432,0.6818,0.7692,0.6122,0.7666
27,19,44,8,3,0.8514,0.8636,0.8462,0.7755,0.8977
28,23,39,8,4,0.8378,0.8519,0.8298,0.7931,0.8109
29,17,40,9,8,0.7703,0.68,0.8163,0.6667,0.7788
30,11,47,11,5,0.7838,0.6875,0.8103,0.5789,0.7575
31,15,41,8,10,0.7568,0.6,0.8367,0.625,0.8106
32,15,38,7,14,0.7162,0.5172,0.8444,0.5882,0.7333
33,17,37,5,15,0.7297,0.5312,0.881,0.6296,0.8065
34,12,47,10,5,0.7973,0.7059,0.8246,0.6154,0.8101
35,17,47,4,6,0.8649,0.7391,0.9216,0.7727,0.8951
36,21,42,5,6,0.8514,0.7778,0.8936,0.7925,0.8802
37,20,46,4,4,0.8919,0.8333,0.92,0.8333,0.9367
38,22,40,8,4,0.8378,0.8462,0.8333,0.7857,0.867
39,18,44,5,7,0.8378,0.72,0.898,0.75,0.8278
40,19,44,3,8,0.8514,0.7037,0.9362,0.7755,0.8731
41,22,41,6,5,0.8514,0.8148,0.8723,0.8,0.9173
42,15,46,7,6,0.8243,0.7143,0.8679,0.6977,0.7862
43,17,40,13,4,0.7703,0.8095,0.7547,0.6667,0.8113
44,23,38,7,6,0.8243,0.7931,0.8444,0.7797,0.8253
45,16,43,7,8,0.7973,0.6667,0.86,0.6809,0.8183
46,23,40,5,6,0.8514,0.7931,0.8889,0.807,0.9065
47,23,36,7,8,0.7973,0.7419,0.8372,0.7541,0.8027
48,21,38,2,13,0.7973,0.6176,0.95,0.7368,0.8926
49,19,41,8,6,0.8108,0.76,0.8367,0.7308,0.8155
50,22,39,6,7,0.8243,0.7586,0.8667,0.7719,0.8199
51,17,48,4,5,0.8784,0.7727,0.9231,0.7907,0.9187
52,20,39,6,9,0.7973,0.6897,0.8667,0.7273,0.849
53,21,32,11,10,0.7162,0.6774,0.7442,0.6667,0.7247
54,18,44,6,6,0.8378,0.75,0.88,0.75,0.835
55,16,40,6,12,0.7568,0.5714,0.8696,0.64,0.8005
56,19,43,4,8,0.8378,0.7037,0.9149,0.76,0.8408
57,27,32,12,3,0.7973,0.9,0.7273,0.7826,0.8667
58,24,36,11,3,0.8108,0.8889,0.766,0.7742,0.8314
59,21,40,4,9,0.8243,0.7,0.9091,0.7636,0.8424
60,29,30,7,8,0.7973,0.7838,0.8108,0.7945,0.8386
61,13,47,6,8,0.8108,0.619,0.8868,0.65,0.761
62,12,40,10,12,0.7027,0.5,0.8,0.5217,0.7567
63,15,44,7,8,0.7973,0.6522,0.8627,0.6667,0.8474
64,15,41,9,9,0.7568,0.625,0.82,0.625,0.7158
65,16,43,9,6,0.7973,0.7273,0.8269,0.6809,0.8479
66,17,41,6,10,0.7838,0.6296,0.8723,0.68,0.8716
67,24,48,1,1,0.973,0.96,0.9796,0.96,0.9804
68,10,46,6,12,0.7568,0.4545,0.8846,0.5263,0.6984
69,16,39,12,7,0.7432,0.6957,0.7647,0.6275,0.7962
70,22,38,7,7,0.8108,0.7586,0.8444,0.7586,0.8659
71,12,50,6,6,0.8378,0.6667,0.8929,0.6667,0.7996
72,16,38,13,7,0.7297,0.6957,0.7451,0.6154,0.8124
73,26,35,7,6,0.8243,0.8125,0.8333,0.8,0.8549
74,14,37,9,14,0.6892,0.5,0.8043,0.549,0.6747
75,28,33,5,8,0.8243,0.7778,0.8684,0.8116,0.8684
76,18,37,8,11,0.7432,0.6207,0.8222,0.6545,0.7533
77,17,36,10,11,0.7162,0.6071,0.7826,0.6182,0.7725
78,21,41,7,5,0.8378,0.8077,0.8542,0.7778,0.8958
79,11,43,12,8,0.7297,0.5789,0.7818,0.5238,0.7933
80,19,41,8,6,0.8108,0.76,0.8367,0.7308,0.822
81,16,38,12,8,0.7297,0.6667,0.76,0.6154,0.7342
82,19,37,10,8,0.7568,0.7037,0.7872,0.6786,0.8369
83,26,30,12,6,0.7568,0.8125,0.7143,0.7429,0.8162
84,23,36,5,10,0.7973,0.697,0.878,0.7541,0.8477
85,18,41,10,5,0.7973,0.7826,0.8039,0.7059,0.8465
86,18,35,8,13,0.7162,0.5806,0.814,0.6316,0.7457
87,15,38,8,13,0.7162,0.5357,0.8261,0.5882,0.7671
88,18,33,12,11,0.6892,0.6207,0.7333,0.6102,0.7648
89,15,39,6,14,0.7297,0.5172,0.8667,0.6,0.7908
90,20,37,7,10,0.7703,0.6667,0.8409,0.7018,0.7917
91,17,36,13,8,0.7162,0.68,0.7347,0.6182,0.7543
92,19,32,13,10,0.6892,0.6552,0.7111,0.623,0.7211
93,11,46,7,10,0.7703,0.5238,0.8679,0.5641,0.7314
94,13,39,11,11,0.7027,0.5417,0.78,0.5417,0.7675
95,15,42,9,8,0.7703,0.6522,0.8235,0.6383,0.7792
96,16,43,5,10,0.7973,0.6154,0.8958,0.6809,0.8205
97,15,37,13,9,0.7027,0.625,0.74,0.5769,0.7292
98,13,51,5,5,0.8649,0.7222,0.9107,0.7222,0.88
99,18,42,8,6,0.8108,0.75,0.84,0.72,0.8633
100,23,40,8,3,0.8514,0.8846,0.8333,0.807,0.8814
101,15,41,11,7,0.7568,0.6818,0.7885,0.625,0.7701
